attendance,ward
88.8,8
88.8,27
95.1,45
95.1,16
88.8,4
88.8,8
95.1,30
95.1,44
95.1,13
88.8,11
95.1,18
95.1,10
95.1,28
95.1,29
95.1,14
95.1,27
95.1,28
95.1,49
95.1,5
95.1,11
95.1,16
88.8,48
95.1,19
95.1,1
95.1,15
95.1,27
95.1,41
95.1,36
95.1,29
95.1,16
88.8,30
95.1,38
95.1,12
95.1,41
88.8,24
95.1,10
88.8,22
95.1,47
95.1,11
95.1,8
95.1,21
95.1,21
95.1,13
95.1,14
95.1,47
88.8,29
88.8,36
95.1,27
95.1,32
95.1,12
95.1,22
88.8,9
88.8,11
95.1,17
88.8,28
88.8,21
95.1,47
95.1,27
95.1,21
95.1,31
95.1,9
95.1,3
95.1,43
88.8,27
95.1,24
88.8,27
95.1,40
95.1,43
95.1,4
95.1,36
95.1,18
88.8,40
95.1,25
95.1,39
88.8,34
95.1,45
88.8,22
95.1,7
95.1,6
95.1,3
88.8,38
95.1,3
95.1,24
88.8,12
95.1,27
95.1,36
88.8,27
88.8,25
95.1,16
95.1,29
88.8,37
95.1,34
95.1,6
95.1,36
95.1,48
88.8,15
95.1,38
95.1,32
95.1,1
95.1,25
95.1,49
95.1,21
95.1,10
95.1,28
95.1,45
95.1,9
95.1,15
88.8,40
88.8,23
88.8,28
95.1,17
95.1,17
95.1,25
95.1,27
95.1,16
95.1,28
95.1,9
95.1,21
88.8,27
95.1,22
95.1,20
95.1,48
95.1,37
95.1,34
88.8,21
95.1,22
95.1,36
88.8,12
88.8,18
95.1,29
95.1,50
88.8,14
88.8,32
95.1,44
95.1,9
95.1,6
88.8,17
95.1,36
88.8,28
95.1,28
88.8,28
95.1,11
88.8,9
95.1,23
95.1,23
88.8,3
95.1,7
95.1,18
95.1,5
95.1,21
88.8,4
88.8,27
95.1,12
95.1,41
95.1,40
95.1,39
88.8,26
95.1,20
95.1,14
95.1,20
88.8,7
95.1,24
95.1,26
95.1,25
95.1,11
95.1,7
95.1,6
88.8,24
95.1,43
95.1,26
95.1,9
95.1,37
95.1,24
88.8,4
95.1,15
95.1,45
95.1,14
95.1,48
95.1,27
88.8,28
95.1,18
88.8,47
95.1,8
95.1,20
95.1,29
88.8,42
95.1,19
88.8,9
95.1,24
88.8,37
95.1,35
95.1,24
88.8,42
88.8,4
88.8,19
88.8,5
88.8,26
95.1,6
95.1,10
95.1,6
95.1,6
95.1,9
88.8,20
95.1,15
88.8,25
95.1,24
95.1,44
88.8,26
95.1,4
88.8,6
95.1,34
95.1,14
95.1,8
95.1,14
95.1,3
95.1,13
95.1,10
95.1,4
95.1,7
95.1,38
88.8,27
95.1,10
95.1,14
88.8,5
88.8,20
95.1,8
95.1,32
88.8,3
95.1,21
88.8,20
95.1,15
88.8,45
88.8,36
88.8,20
88.8,3
95.1,1
95.1,34
95.1,37
95.1,22
95.1,38
95.1,28
95.1,29
95.1,15
95.1,18
95.1,20
88.8,21
95.1,27
88.8,9
95.1,14
,4
95.1,47
95.1,50
95.1,33
95.1,14
95.1,30
95.1,25
95.1,20
95.1,33
88.8,6
88.8,47
95.1,43
88.8,37
95.1,1
88.8,6
95.1,23
88.8,41
95.1,20
88.8,30
95.1,49
95.1,40
95.1,13
95.1,25
95.1,9
,23
88.8,25
88.8,34
95.1,5
95.1,7
88.8,27
95.1,8
95.1,28
95.1,2
95.1,41
95.1,24
95.1,47
95.1,34
95.1,27
95.1,41
88.8,33
95.1,26
95.1,4
95.1,11
95.1,12
88.8,7
95.1,28
95.1,22
88.8,15
95.1,45
95.1,19
95.1,35
88.8,9
88.8,2
88.8,27
88.8,22
95.1,19
88.8,3
88.8,47
95.1,18
95.1,15
95.1,28
88.8,39
95.1,14
88.8,21
95.1,5
88.8,34
95.1,27
95.1,46
95.1,8
95.1,46
88.8,43
95.1,11
88.8,1
95.1,36
95.1,1
88.8,3
95.1,13
95.1,17
95.1,29
95.1,23
95.1,24
95.1,36
95.1,6
88.8,26
95.1,3
95.1,26
95.1,24
95.1,20
95.1,30
95.1,12
95.1,37
95.1,9
95.1,41
95.1,49
95.1,3
95.1,13
95.1,4
88.8,3
88.8,28
95.1,4
95.1,16
95.1,25
95.1,25
95.1,32
88.8,17
95.1,5
95.1,1
88.8,28
88.8,13
95.1,46
88.8,19
95.1,28
88.8,49
88.8,8
95.1,47
95.1,25
95.1,35
95.1,1
95.1,25
95.1,27
95.1,33
95.1,3
95.1,10
95.1,7
95.1,8
95.1,22
95.1,41
95.1,50
88.8,24
88.8,18
95.1,6
88.8,42
88.8,37
95.1,34
95.1,16
95.1,19
95.1,12
95.1,5
95.1,5
95.1,10
95.1,1
95.1,35
95.1,7
95.1,36
95.1,6
88.8,8
95.1,21
95.1,9
95.1,1
88.8,27
95.1,16
95.1,17
88.8,30
95.1,20
95.1,28
95.1,9
95.1,32
95.1,20
95.1,12
,10
88.8,8
88.8,3
88.8,3
95.1,12
95.1,25
95.1,23
88.8,14
95.1,30
95.1,5
95.1,12
95.1,5
95.1,17
95.1,34
95.1,33
95.1,12
,37
95.1,28
95.1,19
95.1,34
88.8,30
95.1,21
95.1,28
95.1,35
95.1,4
95.1,12
88.8,27
88.8,45
88.8,3
88.8,35
88.8,41
95.1,45
95.1,41
95.1,19
95.1,35
88.8,28
95.1,7
88.8,26
95.1,46
95.1,40
95.1,46
88.8,18
95.1,31
95.1,14
88.8,14
88.8,48
95.1,10
95.1,26
95.1,27
95.1,28
95.1,14
95.1,28
88.8,34
88.8,13
88.8,27
95.1,39
95.1,24
95.1,27
88.8,4
95.1,30
95.1,34
88.8,39
95.1,38
88.8,6
95.1,9
88.8,20
95.1,45
95.1,43
95.1,40
95.1,28
95.1,8
88.8,7
95.1,10
88.8,10
88.8,4
95.1,24
95.1,26
88.8,17
95.1,12
95.1,24
95.1,38
95.1,4
88.8,27
95.1,47
95.1,27
95.1,6
95.1,3
88.8,14
95.1,29
95.1,12
95.1,13
88.8,34
88.8,22
88.8,15
95.1,33
95.1,33
88.8,25
88.8,39
95.1,2
95.1,16
95.1,41
95.1,6
95.1,3
88.8,22
88.8,21
95.1,15
88.8,21
95.1,15
95.1,34
95.1,6
88.8,20
95.1,18
88.8,11
95.1,45
95.1,27
95.1,25
95.1,29
95.1,50
95.1,50
95.1,34
95.1,8
95.1,20
95.1,39
88.8,46
95.1,21
88.8,7
95.1,34
95.1,22
88.8,24
95.1,49
95.1,34
95.1,1
88.8,31
88.8,15
95.1,8
95.1,24
88.8,4
95.1,14
95.1,27
95.1,16
95.1,27
88.8,36
88.8,36
95.1,26
95.1,24
95.1,16
88.8,20
95.1,37
95.1,16
88.8,9
95.1,33
95.1,19
95.1,3
95.1,26
95.1,37
95.1,26
95.1,8
88.8,28
95.1,4
95.1,22
95.1,22
95.1,22
88.8,29
95.1,34
95.1,17
95.1,33
95.1,3
88.8,31
95.1,12
88.8,46
95.1,37
95.1,26
95.1,9
95.1,28
88.8,1
88.8,33
95.1,33
88.8,40
95.1,24
95.1,4
95.1,10
88.8,14
88.8,24
88.8,49
95.1,44
95.1,19
95.1,32
95.1,34
95.1,24
95.1,20
95.1,17
95.1,11
88.8,37
95.1,8
95.1,29
95.1,35
95.1,41
88.8,30
88.8,8
95.1,25
95.1,12
95.1,49
95.1,35
95.1,14
88.8,25
95.1,14
95.1,32
88.8,21
95.1,8
88.8,1
95.1,10
88.8,24
95.1,20
95.1,17
95.1,36
88.8,24
95.1,39
95.1,21
95.1,21
95.1,34
95.1,16
95.1,22
95.1,13
95.1,48
88.8,7
95.1,27
95.1,18
88.8,28
95.1,44
95.1,2
88.8,20
88.8,1
95.1,32
95.1,2
95.1,8
95.1,9
95.1,29
88.8,3
88.8,25
95.1,19
95.1,32
95.1,1
95.1,39
95.1,7
88.8,25
95.1,9
95.1,15
95.1,16
95.1,21
88.8,16
95.1,1
95.1,29
95.1,20
95.1,27
95.1,31
95.1,50
95.1,17
95.1,20
95.1,6
95.1,11
95.1,7
88.8,12
