REGISTRY,YEAR,SEX,TOTAL,P0_4,P5_9,P10_14,P15_19,P20_24,P25_29,P30_34,P35_39,P40_44,P45_49,P50_54,P55_59,P60_64,P65_69,P70_74,P75_79,P80_84,P85+
80000200,1993,1,548998,96250,66520,59394,60309,72652,64851,45063,28234,18284,12184,9354,4807,4022,2387,1902,2785,0,0
80000200,1994,1,571687,98606,69804,62551,63392,75628,67446,47132,29428,19144,12580,9563,4930,4149,2451,1953,2930,0,0
80000200,1995,1,595373,101020,73250,65877,66634,78726,70146,49297,30672,20045,12990,9776,5056,4280,2516,2005,3083,0,0
80000200,1996,1,620093,103493,76866,69378,70040,81952,72953,51560,31970,20988,13412,9994,5186,4415,2583,2059,3244,0,0
80000200,1997,1,645899,106026,80661,73067,73621,85309,75873,53928,33322,21975,13849,10217,5318,4554,2652,2114,3413,0,0
80000200,1998,1,672840,108621,84643,76951,77386,88804,78910,56404,34732,23009,14300,10445,5454,4698,2723,2170,3590,0,0
80000200,1999,1,700964,111280,88821,81041,81342,92443,82068,58994,36201,24092,14765,10677,5594,4846,2795,2228,3777,0,0
80000200,2000,1,730331,114004,93206,85349,85501,96230,85353,61702,37732,25225,15246,10916,5737,4999,2870,2287,3974,0,0
80000200,2001,1,760994,116795,97807,89886,89873,100172,88769,64535,39328,26412,15742,11159,5884,5157,2946,2348,4181,0,0
80000200,2002,1,800990,120043,103977,96097,95791,105218,93118,68263,41386,27984,16348,11439,6056,5349,3037,2421,4463,0,0
80000200,2003,1,829675,124567,108018,99148,98470,108825,96306,70643,42862,29335,17139,11996,6355,5601,3182,2540,4688,0,0
80000200,2004,1,859416,129262,112216,102296,101224,112556,99604,73107,44391,30752,17969,12580,6669,5866,3335,2664,4925,0,0
80000200,2005,1,890246,134134,116578,105543,104056,116415,103014,75657,45975,32238,18840,13192,6998,6143,3494,2795,5174,0,0
80000200,2006,1,922209,139190,121109,108894,106967,120407,106542,78296,47615,33795,19752,13835,7344,6433,3662,2933,5435,0,0
80000200,2007,1,955342,144436,125816,112352,109959,124535,110190,81027,49314,35428,20709,14508,7707,6737,3837,3077,5710,0,0
80000200,2008,1,989693,149880,130707,115919,113035,128805,113963,83853,51073,37139,21712,15215,8088,7055,4021,3229,5999,0,0
80000200,2009,1,1025307,155530,135787,119600,116197,133221,117865,86778,52896,38934,22764,15956,8488,7388,4214,3387,6302,0,0
80000200,2010,1,1062227,161392,141065,123397,119447,137789,121901,89805,54783,40814,23866,16733,8907,7738,4416,3554,6620,0,0
80000200,2011,1,1100506,167475,146548,127315,122788,142513,126075,92937,56737,42786,25022,17548,9347,8103,4628,3729,6955,0,0
80000200,2012,1,1140195,173787,152244,131357,126223,147400,130392,96178,58762,44853,26234,18402,9809,8486,4849,3912,7307,0,0
80000200,1993,2,576534,98371,73168,75214,83967,76421,59834,36171,22146,14194,9262,8708,4117,5351,2555,2952,4103,0,0
80000200,1994,2,602649,100655,76456,78760,88128,80933,62857,37957,23381,15098,9739,8948,4281,5473,2648,3038,4297,0,0
80000200,1995,2,630025,102991,79891,82474,92494,85712,66033,39832,24685,16060,10240,9194,4452,5597,2744,3126,4500,0,0
80000200,1996,2,658731,105383,83480,86363,97077,90774,69369,41800,26062,17084,10766,9447,4630,5725,2843,3216,4712,0,0
80000200,1997,2,688829,107829,87231,90436,101887,96134,72873,43865,27515,18172,11320,9707,4814,5856,2946,3309,4935,0,0
80000200,1998,2,720391,110333,91150,94700,106935,101810,76555,46032,29049,19330,11902,9974,5006,5989,3053,3405,5168,0,0
80000200,1999,2,753490,112894,95245,99165,112233,107822,80422,48305,30669,20562,12514,10248,5206,6126,3163,3504,5412,0,0
80000200,2000,2,788208,115515,99525,103841,117794,114189,84485,50692,32379,21872,13157,10530,5413,6266,3278,3605,5667,0,0
80000200,2001,2,824626,118197,103996,108738,123631,120931,88754,53196,34185,23265,13834,10819,5629,6409,3397,3710,5935,0,0
80000200,2002,2,873394,121295,109847,115224,131464,130458,94513,56554,36692,25284,14752,11163,5904,6574,3545,3835,6290,0,0
80000200,2003,2,906482,125469,113712,118878,135098,136073,98587,59026,38322,26589,15518,11755,6217,6865,3705,4014,6654,0,0
80000200,2004,2,940875,129788,117713,122648,138832,141930,102837,61607,40026,27962,16324,12378,6547,7170,3872,4202,7039,0,0
80000200,2005,2,976619,134255,121856,126537,142670,148039,107271,64300,41805,29405,17173,13034,6895,7488,4047,4398,7446,0,0
80000200,2006,2,1013772,138876,126144,130550,146614,154412,111895,67111,43663,30923,18065,13726,7261,7821,4230,4604,7877,0,0
80000200,2007,2,1052385,143656,130582,134690,150667,161058,116719,70045,45604,32520,19003,14454,7646,8168,4421,4819,8333,0,0
80000200,2008,2,1092525,148601,135177,138961,154832,167991,121751,73108,47631,34199,19991,15220,8052,8531,4621,5044,8815,0,0
80000200,2009,2,1134251,153716,139934,143368,159112,175222,127000,76304,49748,35965,21030,16027,8480,8909,4830,5280,9326,0,0
80000200,2010,2,1177623,159006,144858,147915,163511,182764,132475,79640,51959,37821,22122,16877,8930,9305,5048,5527,9865,0,0
80000200,2011,2,1222718,164479,149956,152606,168031,190631,138186,83122,54269,39774,23272,17772,9404,9718,5276,5786,10436,0,0
80000200,2012,2,1269599,170141,155233,157445,172676,198837,144144,86756,56681,41827,24481,18715,9903,10149,5514,6056,11041,0,0
