,geo,Temps de travail par semaine,Pays
6462097,AT,36.8,Autriche
6462111,BE,37.4,Belgique
6462125,BG,40.7,Bulgarie
6462153,CY,39.5,Chypre
6462167,CZ,40.5,Tchéquie
6462181,DE,35.5,Allemagne
6462195,DK,34.8,Danemark
6462223,EE,38.7,Estonie
6462237,EL,42.0,Grèce
6462251,ES,37.8,Espagne
6462277,EU27_2020,37.6,Europe
6462303,FI,37.6,Finlande
6462317,FR,37.4,France
6462331,HR,39.8,Croatie
6462345,HU,39.8,Hongrie
6462359,IE,36.9,Irelande
6462373,IS,40.5,Island
6462387,IT,37.3,Italie
6462401,LT,38.9,Lithuanie
6462415,LU,37.7,Luxembourg
6462429,LV,39.1,Lettonie
6462466,MT,39.4,Malte
6462480,NL,32.2,Pays-Bas
6462494,NO,34.6,Norvège
6462508,PL,40.6,Pologne
6462522,PT,40.1,Portugal
6462536,RO,39.9,Roumanie
6462548,RS,43.0,Serbie
6462562,SE,37.4,Suisse
6462576,SI,39.5,Slovénie
6462590,SK,40.1,Slovaquie
6462604,TR,46.0,Turquie
6462617,UK,37.4,Royaume-Uni
