,Fréquence,geo,Fréquence du sentiment de bonheur (% de réponse)
31086,Toujours,AT,14.4
31088,Toujours,BE,16.9
31090,Toujours,BG,7.0
31094,Toujours,CY,8.8
31096,Toujours,CZ,6.8
31098,Toujours,DE,6.4
31100,Toujours,DK,14.0
31105,Toujours,EE,7.1
31107,Toujours,EL,9.9
31109,Toujours,ES,28.5
31114,Toujours,EU27_2020,13.9
31118,Toujours,FI,12.3
31120,Toujours,FR,15.5
31122,Toujours,HR,5.3
31124,Toujours,HU,9.7
31126,Toujours,IE,17.4
31128,Toujours,IS,27.6
31130,Toujours,IT,16.4
31132,Toujours,LT,8.1
31134,Toujours,LU,14.9
31136,Toujours,LV,4.1
31142,Toujours,MT,5.7
31144,Toujours,NL,15.3
31146,Toujours,NO,12.4
31148,Toujours,PL,16.6
31150,Toujours,PT,15.3
31152,Toujours,RO,4.7
31154,Toujours,RS,11.1
31156,Toujours,SE,12.8
31158,Toujours,SI,10.1
31160,Toujours,SK,9.6
31162,Toujours,TR,6.6
31164,Toujours,UK,12.7
32808,La plupart du temps,AT,61.5
32810,La plupart du temps,BE,59.2
32812,La plupart du temps,BG,27.9
32816,La plupart du temps,CY,45.9
32818,La plupart du temps,CZ,44.8
32820,La plupart du temps,DE,58.1
32822,La plupart du temps,DK,55.7
32827,La plupart du temps,EE,44.3
32829,La plupart du temps,EL,36.5
32831,La plupart du temps,ES,43.0
32836,La plupart du temps,EU27_2020,48.5
32840,La plupart du temps,FI,63.6
32842,La plupart du temps,FR,52.2
32844,La plupart du temps,HR,36.5
32846,La plupart du temps,HU,48.1
32848,La plupart du temps,IE,63.3
32850,La plupart du temps,IS,48.1
32852,La plupart du temps,IT,32.7
32854,La plupart du temps,LT,37.3
32856,La plupart du temps,LU,59.0
32858,La plupart du temps,LV,26.6
32864,La plupart du temps,MT,56.1
32866,La plupart du temps,NL,60.9
32868,La plupart du temps,NO,53.2
32870,La plupart du temps,PL,51.9
32872,La plupart du temps,PT,40.7
32874,La plupart du temps,RO,41.7
32876,La plupart du temps,RS,40.6
32878,La plupart du temps,SE,51.8
32880,La plupart du temps,SI,48.8
32882,La plupart du temps,SK,48.2
32884,La plupart du temps,TR,47.1
32886,La plupart du temps,UK,57.5
34530,Jamais,AT,0.9
34532,Jamais,BE,1.2
34534,Jamais,BG,4.5
34538,Jamais,CY,1.8
34540,Jamais,CZ,1.5
34542,Jamais,DE,1.6
34544,Jamais,DK,2.0
34549,Jamais,EE,3.4
34551,Jamais,EL,5.1
34553,Jamais,ES,1.9
34558,Jamais,EU27_2020,2.0
34562,Jamais,FI,0.9
34564,Jamais,FR,2.1
34566,Jamais,HR,2.7
34568,Jamais,HU,1.8
34570,Jamais,IE,1.6
34572,Jamais,IS,1.9
34574,Jamais,IT,2.2
34576,Jamais,LT,2.1
34578,Jamais,LU,2.0
34580,Jamais,LV,6.8
34586,Jamais,MT,2.9
34588,Jamais,NL,1.4
34590,Jamais,NO,1.0
34592,Jamais,PL,1.1
34594,Jamais,PT,3.9
34596,Jamais,RO,3.0
34598,Jamais,RS,2.2
34600,Jamais,SE,2.6
34602,Jamais,SI,1.9
34604,Jamais,SK,1.1
34606,Jamais,TR,2.9
34608,Jamais,UK,1.5
36252,Rarement,AT,5.8
36254,Rarement,BE,4.8
36256,Rarement,BG,19.9
36260,Rarement,CY,11.3
36262,Rarement,CZ,8.7
36264,Rarement,DE,8.6
36266,Rarement,DK,8.3
36271,Rarement,EE,10.4
36273,Rarement,EL,15.7
36275,Rarement,ES,6.1
36280,Rarement,EU27_2020,8.2
36284,Rarement,FI,4.5
36286,Rarement,FR,5.7
36288,Rarement,HR,12.8
36290,Rarement,HU,12.0
36292,Rarement,IE,2.9
36294,Rarement,IS,5.1
36296,Rarement,IT,10.0
36298,Rarement,LT,13.0
36300,Rarement,LU,4.7
36302,Rarement,LV,21.2
36308,Rarement,MT,9.7
36310,Rarement,NL,3.4
36312,Rarement,NO,8.2
36314,Rarement,PL,7.0
36316,Rarement,PT,13.1
36318,Rarement,RO,12.2
36320,Rarement,RS,10.4
36322,Rarement,SE,7.4
36324,Rarement,SI,7.1
36326,Rarement,SK,6.3
36328,Rarement,TR,9.8
36330,Rarement,UK,5.8
37974,Parfois,AT,17.4
37976,Parfois,BE,17.7
37978,Parfois,BG,36.4
37982,Parfois,CY,32.1
37984,Parfois,CZ,34.6
37986,Parfois,DE,23.1
37988,Parfois,DK,19.5
37993,Parfois,EE,34.4
37995,Parfois,EL,30.7
37997,Parfois,ES,20.6
38002,Parfois,EU27_2020,25.8
38006,Parfois,FI,18.0
38008,Parfois,FR,23.8
38010,Parfois,HR,41.0
38012,Parfois,HU,28.0
38014,Parfois,IE,14.7
38016,Parfois,IS,17.2
38018,Parfois,IT,37.3
38020,Parfois,LT,33.9
38022,Parfois,LU,18.7
38024,Parfois,LV,38.9
38030,Parfois,MT,24.8
38032,Parfois,NL,18.2
38034,Parfois,NO,25.2
38036,Parfois,PL,21.9
38038,Parfois,PT,26.7
38040,Parfois,RO,31.4
38042,Parfois,RS,35.2
38044,Parfois,SE,24.3
38046,Parfois,SI,31.6
38048,Parfois,SK,27.5
38050,Parfois,TR,33.4
38052,Parfois,UK,22.3
